Found 0 violation(s).
         98739 function calls (96267 primitive calls) in 0.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pathlib.py:292(PurePath)
        6    0.000    0.000    0.000    0.000 dataclasses.py:250(_recursive_repr)
       27    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       67    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 page_template_utils.py:1(<module>)
      114    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       64    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
       11    0.000    0.000    0.000    0.000 enum.py:383(__init__)
        8    0.000    0.000    0.000    0.000 threading.py:1081(_stop)
      120    0.000    0.000    0.000    0.000 {built-in method _io.text_encoding}
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1954(_parse_known_args)
        1    0.000    0.000    0.002    0.002 thread.py:1(<module>)
        1    0.000    0.000    0.003    0.003 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       60    0.000    0.000    0.000    0.000 threading.py:308(_release_save)
        1    0.000    0.000    0.001    0.001 argparse.py:1772(__init__)
       64    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
      116    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       60    0.000    0.000    0.000    0.000 threading.py:311(_acquire_restore)
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1569(_IPv4Constants)
        1    0.000    0.000    0.010    0.010 _base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ipaddress.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
       41    0.000    0.000    0.000    0.000 types.py:192(__init__)
        6    0.000    0.000    0.011    0.002 dataclasses.py:1264(wrap)
        1    0.000    0.000    0.000    0.000 {built-in method posix.cpu_count}
      104    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
      195    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       60    0.000    0.000    0.000    0.000 _base.py:398(__get_result)
        6    0.000    0.000    0.000    0.000 enum.py:1550(__or__)
       54    0.000    0.000    0.000    0.000 _compiler.py:575(isstring)
       60    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        7    0.000    0.000    0.000    0.000 argparse.py:602(_format_args)
        1    0.000    0.000    0.062    0.062 thread.py:220(shutdown)
       26    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
        7    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1611(_BaseV6)
       37    0.000    0.000    0.000    0.000 argparse.py:1422(register)
        1    0.000    0.000    0.000    0.000 argparse.py:1916(_parse_known_args2)
       43    0.000    0.000    0.000    0.000 enum.py:202(__get__)
       17    0.000    0.000    0.000    0.000 {method 'difference_update' of 'set' objects}
       52    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
       60    0.000    0.000    0.000    0.000 _base.py:337(_invoke_callbacks)
       77    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       27    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:195(_write_atomic)
        3    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       32    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
       59    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        8    0.000    0.000    0.000    0.000 weakref.py:427(__setitem__)
       64    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        2    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        9    0.000    0.000    0.000    0.000 threading.py:588(__init__)
        1    0.000    0.000    0.002    0.002 string.py:1(<module>)
       12    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1299(exec_module)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        1    0.000    0.000    0.002    0.002 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
        7    0.000    0.000    0.000    0.000 argparse.py:1512(_add_action)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       64    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
       60    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
       64    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
       19    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       11    0.000    0.000    0.000    0.000 functools.py:482(lru_cache)
        1    0.000    0.000    0.002    0.002 lint_wiki.py:343(_parse_args)
       25    0.000    0.000    0.000    0.000 threading.py:1236(daemon)
       65    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      102    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
       19    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       32    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1923(IPv6Address)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 ipaddress.py:383(_IPAddressBase)
       16    0.000    0.000    0.000    0.000 threading.py:1485(current_thread)
       13    0.000    0.000    0.000    0.000 enum.py:1393(_iter_member_by_value_)
       38    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        8    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
        7    0.000    0.000    0.001    0.000 argparse.py:2607(_get_formatter)
       36    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
       43    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       38    0.000    0.000    0.000    0.000 dataclasses.py:643(<genexpr>)
        7    0.000    0.000    0.000    0.000 argparse.py:849(__init__)
        9    0.000    0.000    0.000    0.000 {built-in method _thread._set_sentinel}
       59    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       35    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        6    0.000    0.000    0.000    0.000 pathlib.py:228(_iterate_directories)
        2    0.000    0.000    0.000    0.000 argparse.py:1682(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
        6    0.000    0.000    0.001    0.000 dataclasses.py:882(_hash_add)
       52    0.000    0.000    0.000    0.000 _compiler.py:433(_get_iscased)
       13    0.000    0.000    0.000    0.000 enum.py:1403(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 _base.py:325(Future)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
       60    0.000    0.000    0.000    0.000 thread.py:48(__init__)
      122    0.000    0.000    0.000    0.000 pathlib.py:176(_select_from)
        6    0.000    0.000    0.001    0.000 dataclasses.py:675(_hash_fn)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       27    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        2    0.000    0.000    0.000    0.000 _compiler.py:396(_bytes_to_codes)
        3    0.000    0.000    0.000    0.000 gettext.py:519(translation)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 functools.py:188(total_ordering)
        9    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       60    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
        2    0.000    0.000    0.000    0.000 selectors.py:588(_can_use)
       78    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
        5    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       26    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        6    0.000    0.000    0.001    0.000 dataclasses.py:661(_cmp_fn)
        1    0.000    0.000    0.000    0.000 parse.py:152(_NetlocResultMixinBase)
       10    0.000    0.000    0.000    0.000 pathlib.py:1059(_scandir)
       64    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
        7    0.000    0.000    0.000    0.000 argparse.py:1704(_add_action)
       43    0.000    0.000    0.000    0.000 enum.py:1291(value)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       79    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:39(_remove)
       11    0.000    0.000    0.000    0.000 enum.py:985(_find_data_repr_)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
       32    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
       33    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       38    0.000    0.000    0.000    0.000 dataclasses.py:1293(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        7    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
        4    0.000    0.000    0.000    0.000 _compiler.py:412(_generate_overlap_table)
       33    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1280(IPv4Address)
        9    0.000    0.000    0.000    0.000 threading.py:1356(_make_invoke_excepthook)
        1    0.000    0.000    0.000    0.000 __init__.py:1482(Logger)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        9    0.000    0.000    0.000    0.000 threading.py:1038(_set_ident)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:768(_code_to_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       87    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       26    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
        1    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        2    0.000    0.000    0.000    0.000 argparse.py:1502(add_argument_group)
       15    0.000    0.000    0.000    0.000 argparse.py:1426(_registry_get)
       12    0.000    0.000    0.000    0.000 contracts.py:364(<genexpr>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1139(_BaseV4)
        5    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        4    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        1    0.000    0.000    0.000    0.000 sourceref.py:26(SourceRefReasonCode)
        7    0.000    0.000    0.000    0.000 argparse.py:1629(_pop_action_class)
      2/1    0.000    0.000    0.000    0.000 pathlib.py:81(_make_selector)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1216(set_data)
       41    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1367(_ActionsContainer)
        2    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 subprocess.py:470(CompletedProcess)
       18    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 gettext.py:578(dgettext)
       13    0.000    0.000    0.000    0.000 enum.py:117(_iter_bits_lsb)
        1    0.000    0.000    0.000    0.000 traceback.py:248(FrameSummary)
        1    0.000    0.000    0.000    0.000 decoder.py:285(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:670(Barrier)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2215(IPv6Interface)
        1    0.000    0.000    0.062    0.062 _base.py:646(__exit__)
       51    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       38    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
       28    0.000    0.000    0.000    0.000 enum.py:819(<genexpr>)
        3    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        7    0.000    0.000    0.000    0.000 argparse.py:1883(_add_action)
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_pack_uint32)
        8    0.000    0.000    0.000    0.000 weakref.py:369(remove)
        1    0.000    0.000    0.000    0.000 contracts.py:391(DriveMonitorReasonCode)
        2    0.000    0.000    0.000    0.000 pathlib.py:870(is_dir)
        1    0.000    0.000    0.000    0.000 pathlib.py:193(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1633(_get_handler)
        9    0.000    0.000    0.000    0.000 contracts.py:48(<genexpr>)
       41    0.000    0.000    0.000    0.000 enum.py:941(<lambda>)
        1    0.000    0.000    0.000    0.000 threading.py:445(Semaphore)
        7    0.000    0.000    0.000    0.000 argparse.py:587(_metavar_formatter)
        1    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
        7    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 string.py:57(Template)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        5    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        7    0.000    0.000    0.000    0.000 contracts.py:27(<genexpr>)
        1    0.000    0.000    0.000    0.000 thread.py:122(ThreadPoolExecutor)
       38    0.000    0.000    0.000    0.000 dataclasses.py:1202(<genexpr>)
        1    0.000    0.000    0.000    0.000 contextlib.py:272(contextmanager)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(get_filename)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1420(IPv4Interface)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
        1    0.000    0.000    0.005    0.005 __init__.py:41(__getattr__)
        1    0.000    0.000    0.000    0.000 argparse.py:2121(consume_positionals)
        1    0.000    0.000    0.000    0.000 path_utils.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       38    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
        3    0.000    0.000    0.000    0.000 argparse.py:955(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
        6    0.000    0.000    0.000    0.000 signal.py:51(decorator)
        1    0.000    0.000    0.000    0.000 encoder.py:74(JSONEncoder)
        1    0.000    0.000    0.000    0.000 contracts.py:376(GitHubMonitorReasonCode)
        1    0.000    0.000    0.000    0.000 contracts.py:412(ResultEnvelope)
        6    0.000    0.000    0.000    0.000 dataclasses.py:1247(dataclass)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        1    0.000    0.000    0.000    0.000 argparse.py:1152(_VersionAction)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:990(create_module)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        9    0.000    0.000    0.000    0.000 threading.py:1042(_set_native_id)
        1    0.000    0.000    0.000    0.000 selectors.py:80(BaseSelector)
        1    0.000    0.000    0.000    0.000 traceback.py:656(_ExceptionPrintContext)
        1    0.000    0.000    0.000    0.000 contracts.py:12(PolicyId)
        1    0.000    0.000    0.000    0.000 traceback.py:679(TracebackException)
        1    0.000    0.000    0.000    0.000 contracts.py:30(TokenProfileId)
        1    0.000    0.000    0.000    0.000 contracts.py:348(ReasonCode)
        1    0.000    0.000    0.001    0.001 __init__.py:436(PercentStyle)
        7    0.000    0.000    0.000    0.000 argparse.py:595(format)
        9    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 argparse.py:1013(__init__)
        7    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.002    0.002 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 queue.py:223(PriorityQueue)
        1    0.000    0.000    0.000    0.000 threading.py:457(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:111(_AllCompletedWaiter)
        7    0.000    0.000    0.000    0.000 argparse.py:1642(_check_conflict)
        1    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1211(_cache_bytecode)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       16    0.000    0.000    0.000    0.000 threading.py:601(is_set)
        1    0.000    0.000    0.000    0.000 pathlib.py:106(_compile_pattern)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 __init__.py:450(validate)
      2/1    0.000    0.000    0.000    0.000 pathlib.py:155(__init__)
        1    0.000    0.000    0.000    0.000 contracts.py:339(ResultStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.000    0.000 thread.py:47(_WorkItem)
        1    0.000    0.000    0.000    0.000 __init__.py:1202(FileHandler)
       10    0.000    0.000    0.000    0.000 {method '__exit__' of 'posix.ScandirIterator' objects}
        3    0.000    0.000    0.000    0.000 enum.py:815(__iter__)
        1    0.000    0.000    0.000    0.000 __init__.py:1353(Manager)
        4    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 __init__.py:546(Formatter)
       17    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        7    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.epoll' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:769(ArgumentError)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        3    0.000    0.000    0.000    0.000 gettext.py:616(gettext)
        6    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        1    0.000    0.000    0.000    0.000 contracts.py:145(ArtifactType)
        1    0.000    0.000    0.000    0.000 subprocess.py:126(CalledProcessError)
        1    0.000    0.000    0.000    0.000 argparse.py:1913(parse_known_args)
        4    0.000    0.000    0.000    0.000 functools.py:968(__init__)
        1    0.000    0.000    0.000    0.000 weakref.py:289(update)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        7    0.000    0.000    0.000    0.000 argparse.py:206(__init__)
        3    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
        3    0.000    0.000    0.000    0.000 argparse.py:990(__init__)
        1    0.000    0.000    0.000    0.000 contracts.py:137(TriggerType)
        1    0.000    0.000    0.000    0.000 parse.py:361(_fix_result_transcoding)
        1    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
        4    0.000    0.000    0.000    0.000 {method '_release_save' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1550(_register_atexit)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 string.py:188(Formatter)
        1    0.000    0.000    0.000    0.000 contracts.py:163(ArtifactMutability)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1487(IPv4Network)
        4    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_384}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_shake_128}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_512}
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        3    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        1    0.000    0.000    0.000    0.000 parse.py:845(__getattr__)
        6    0.000    0.000    0.000    0.000 {built-in method from_iterable}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 ipaddress.py:563(_BaseAddress)
        7    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:163(TimeoutExpired)
        1    0.000    0.000    0.000    0.000 contracts.py:171(ArtifactWriteStrategy)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha512}
        1    0.000    0.000    0.000    0.000 threading.py:265(Condition)
        1    0.000    0.000    0.000    0.000 contracts.py:179(GovernedArtifactContract)
        1    0.000    0.000    0.000    0.000 argparse.py:1135(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1280(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
        3    0.000    0.000    0.000    0.000 enum.py:827(__members__)
        3    0.000    0.000    0.000    0.000 enum.py:1691(_simple_enum)
        8    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 selectors.py:206(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_resolve_filename)
        1    0.000    0.000    0.000    0.000 decoder.py:255(JSONDecoder)
        1    0.000    0.000    0.000    0.000 pathlib.py:164(select_from)
        1    0.000    0.000    0.000    0.000 argparse.py:2538(_get_value)
        1    0.000    0.000    0.000    0.000 threading.py:137(_RLock)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
        1    0.000    0.000    0.000    0.000 selectors.py:442(EpollSelector)
        1    0.000    0.000    0.000    0.000 pathlib.py:225(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 argparse.py:1180(_SubParsersAction)
        1    0.000    0.000    0.000    0.000 __init__.py:503(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 pathlib.py:852(exists)
        1    0.000    0.000    0.000    0.000 functools.py:654(cache)
        2    0.000    0.000    0.000    0.000 dataclasses.py:349(__set_name__)
        1    0.000    0.000    0.000    0.000 __init__.py:1287(_StderrHandler)
        3    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 selectors.py:341(_PollLikeSelector)
        3    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
        9    0.000    0.000    0.000    0.000 enum.py:1410(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method posix.confstr}
        3    0.000    0.000    0.000    0.000 _parser.py:295(seek)
        1    0.000    0.000    0.000    0.000 <frozen os>:1116(__subclasshook__)
        1    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 threading.py:577(Event)
        1    0.000    0.000    0.000    0.000 _base.py:569(Executor)
        1    0.000    0.000    0.000    0.000 __init__.py:1358(__init__)
        6    0.000    0.000    0.000    0.000 dataclasses.py:372(__init__)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:104(_check_methods)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:131(splitdrive)
        1    0.000    0.000    0.000    0.000 argparse.py:1903(parse_args)
        6    0.000    0.000    0.000    0.000 dataclasses.py:433(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_register_at_fork_reinit_lock)
        4    0.000    0.000    0.000    0.000 _parser.py:166(__delitem__)
       10    0.000    0.000    0.000    0.000 contracts.py:289(<genexpr>)
        4    0.000    0.000    0.000    0.000 functools.py:973(__set_name__)
        1    0.000    0.000    0.000    0.000 sourceref.py:59(SourceRef)
        1    0.000    0.000    0.000    0.000 qmd_preflight.py:49(PreflightReport)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:1058(source_to_code)
        1    0.000    0.000    0.000    0.000 __init__.py:1293(__init__)
        6    0.000    0.000    0.000    0.000 signal.py:50(_wraps)
        1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 qmd_preflight.py:29(PreflightCheck)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2290(IPv6Network)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:627(_calc_mode)
        1    0.000    0.000    0.000    0.000 __init__.py:1867(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:105(__init__)
        3    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        1    0.000    0.000    0.000    0.000 parse.py:854(_Quoter)
        1    0.000    0.000    0.000    0.000 pathlib.py:263(_PathParents)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1158(create_module)
        1    0.000    0.000    0.000    0.000 _base.py:74(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 selectors.py:60(_SelectorMapping)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 __init__.py:2285(NullHandler)
        1    0.000    0.000    0.000    0.000 parse.py:190(_NetlocResultMixinStr)
        1    0.000    0.000    0.000    0.000 __init__.py:727(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 pathlib.py:1413(PosixPath)
        1    0.000    0.000    0.000    0.000 _base.py:59(_Waiter)
        1    0.000    0.000    0.000    0.000 argparse.py:896(BooleanOptionalAction)
