Found 0 violation(s).
         98739 function calls (96267 primitive calls) in 0.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.008    0.000 dataclasses.py:449(_create_fn)
   204/57    0.000    0.000    0.001    0.000 _parser.py:178(getwidth)
    67/27    0.000    0.000    0.006    0.000 _parser.py:452(_parse_sub)
      747    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       60    0.000    0.000    0.002    0.000 page_template_utils.py:126(extract_frontmatter)
     60/4    0.000    0.000    0.031    0.008 pathlib.py:1005(open)
     60/3    0.000    0.000    0.032    0.011 thread.py:54(run)
      897    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       60    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
     60/3    0.000    0.000    0.032    0.011 pathlib.py:1022(read_text)
   132/16    0.000    0.000    0.081    0.005 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1092    0.000    0.000    0.000    0.000 _parser.py:240(__next)
       72    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
      877    0.000    0.000    0.001    0.000 _parser.py:261(get)
       96    0.000    0.000    0.001    0.000 dataclasses.py:701(_is_type)
     1054    0.000    0.000    0.000    0.000 pathlib.py:274(__len__)
       64    0.000    0.000    0.036    0.001 threading.py:323(wait)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        6    0.000    0.000    0.000    0.000 dataclasses.py:1192(_add_slots)
       60    0.000    0.000    0.040    0.001 _base.py:314(_result_or_cancel)
        1    0.000    0.000    0.013    0.013 lint_wiki.py:132(_collect_valid_pages)
       60    0.000    0.000    0.006    0.000 thread.py:165(submit)
      167    0.000    0.000    0.000    0.000 enum.py:849(__setattr__)
  853/840    0.000    0.000    0.005    0.000 {built-in method builtins.hasattr}
      704    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       48    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
      690    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
       87    0.000    0.000    0.000    0.000 enum.py:1314(__new__)
       66    0.000    0.000    0.003    0.000 {built-in method builtins.sorted}
      620    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
